Designator,Mid X,Mid Y,Rotation,Layer
+1,197.776226,-67.187657,0.0,top
-1,212.926226,-67.187657,0.0,top
J0,214.249994,-104.675002,270.0,top
SW1,129.478272,-73.132824,4.0,top
SW10,186.349995,-91.300003,0.0,top
SW11,114.75372,-118.932644,8.0,top
SW12,131.849997,-107.050004,4.0,top
SW13,150.349992,-102.3,0.0,top
SW14,168.349994,-106.300003,0.0,top
SW15,186.349994,-108.300002,0.0,top
SW16,175.649994,-127.350002,12.0,top
SW17,195.278399,-125.300002,0.0,top
SW18,204.499994,-114.150002,90.0,bottom
SW19,205.299994,-65.670002,180.0,top
SW2,150.324995,-68.3,0.0,top
SW20,205.299994,-65.670002,0.0,bottom
SW21,204.499994,-114.150002,270.0,top
SW3,168.349995,-72.300001,0.0,top
SW4,186.349995,-74.300002,0.0,top
SW5,94.562952,-104.6032,8.0,top
SW6,112.387771,-102.098084,8.0,top
SW7,130.664133,-90.091414,4.0,top
SW8,150.349996,-85.3,0.0,top
SW9,168.349995,-89.300001,0.0,top
U1,205.358594,-84.078002,270.0,top
